Icon glyphs present in Cozette v1.30.0 (from the released cozette.bdf cmap).
Names come from the Nerd Fonts glyphnames.json; a codepoint with several
names lists them all. Grouped by family, sorted by codepoint.

582 icons (482 named, 100 unnamed) out of 6046 glyphs in the font.

Use in sdn-config.yaml as a YAML escape, e.g.  "\uE73C"

== Font Awesome  (166) ======================================

  U+0E605    \uE605      custom-ruby, seti-ruby
  U+0E612    \uE612      custom-default
  U+0E617    \uE617      custom-home, seti-home
  U+0E61D    \uE61D      custom-cpp
  U+0E61E    \uE61E      custom-c
  U+0E626    \uE626      custom-go
  U+0E62A    \uE62A      custom-windows
  U+0E62B    \uE62B      custom-vim
  U+0E62C    \uE62C      custom-elm, seti-elm
  U+0E62D    \uE62D      custom-elixir, seti-elixir
  U+0E634    \uE634      custom-kotlin, seti-kotlin
  U+0E63A    \uE63A      custom-bazel, seti-bazel

== Powerline extra  (15) ===================================

  U+0E0A3    \uE0A3      ple-column_number, ple-current_column
  U+0E0B4    \uE0B4      ple-right_half_circle_thick
  U+0E0B5    \uE0B5      ple-right_half_circle_thin
  U+0E0B6    \uE0B6      ple-left_half_circle_thick
  U+0E0B7    \uE0B7      ple-left_half_circle_thin
  U+0E0B8    \uE0B8      ple-lower_left_triangle
  U+0E0B9    \uE0B9      ple-backslash_separator
  U+0E0BA    \uE0BA      ple-lower_right_triangle
  U+0E0BB    \uE0BB      ple-forwardslash_separator
  U+0E0BC    \uE0BC      ple-upper_left_triangle
  U+0E0BD    \uE0BD      ple-forwardslash_separator_redundant
  U+0E0BE    \uE0BE      ple-upper_right_triangle
  U+0E0BF    \uE0BF      ple-backslash_separator_redundant
  U+0E0D2    \uE0D2      ple-trapezoid_top_bottom
  U+0E0D4    \uE0D4      ple-trapezoid_top_bottom_mirrored

== Font Awesome Extension  (13) ============================

  U+0E204    \uE204      fae-soup
  U+0E20A    \uE20A      fae-thermometer
  U+0E20B    \uE20B      fae-thermometer_high
  U+0E20C    \uE20C      fae-thermometer_low
  U+0E20F    \uE20F      fae-tools
  U+0E21E    \uE21E      fae-ruby_o
  U+0E22C    \uE22C      fae-pi
  U+0E235    \uE235      fae-python
  U+0E244    \uE244      fae-galery
  U+0E256    \uE256      fae-java
  U+0E271    \uE271      fae-disco
  U+0E28A    \uE28A      fae-book_open
  U+0E28B    \uE28B      fae-book_open_o

== Pomicons  (11) ==========================================

  U+0E000    \uE000      pom-clean_code
  U+0E001    \uE001      pom-pomodoro_done
  U+0E002    \uE002      pom-pomodoro_estimated
  U+0E003    \uE003      pom-pomodoro_ticking
  U+0E004    \uE004      pom-pomodoro_squashed
  U+0E005    \uE005      pom-short_pause
  U+0E006    \uE006      pom-long_pause
  U+0E007    \uE007      pom-away
  U+0E008    \uE008      pom-pair_programming
  U+0E009    \uE009      pom-internal_interruption
  U+0E00A    \uE00A      pom-external_interruption

== Powerline  (7) =========================================

  U+0E0A0    \uE0A0      pl-branch
  U+0E0A1    \uE0A1      pl-current_line, pl-line_number
  U+0E0A2    \uE0A2      pl-hostname, pl-readonly
  U+0E0B0    \uE0B0      pl-left_hard_divider
  U+0E0B1    \uE0B1      pl-left_soft_divider
  U+0E0B2    \uE0B2      pl-right_hard_divider
  U+0E0B3    \uE0B3      pl-right_soft_divider

== IEC power symbols  (4) =================================

  U+023FB  ⏻  \u23FB      iec-power
  U+023FC  ⏼  \u23FC      iec-toggle_power
  U+023FD  ⏽  \u23FD      iec-power_on
  U+023FE  ⏾  \u23FE      iec-sleep_mode

== Indentation guides  (1) ================================

  U+0E621    \uE621      indent-dotted_guide, indent-line, indentation-line

== Codicons  (1) ==========================================

  U+0EA76    \uEA76      cod-close

== Unnamed in Nerd Fonts  (100) =============================

  U+0EFFA    \uEFFA      -
